,Unnamed: 0,Unnamed: 0.1,Ubicación,Area,Baños,Habitaciones,Precio
0,0,0,"Casa en Venta Los Serrados
, Toluca De Lerdo, México",105,2,3,130000
1,1,1,"Casa en Venta Tierra Y Libertad #114
, Toluca De Lerdo, México",115,2,3,50800
2,2,2,"Casa en Venta Toluca De Lerdo, México",700,3,3,325000
3,3,3,"Casa en Venta Granjas, Toluca De Lerdo",390,3,4,275000
4,4,4,"Casa en Venta Toluca De Lerdo, México",300,4,3,215000
5,5,5,"Casa en Venta Toluca De Lerdo, México",250,2,3,125000
6,6,6,"Casa en Venta Toluca De Lerdo, México",600,4,4,1000000
7,7,7,"Casa en Venta Toluca De Lerdo, México",,4,4,220000
8,8,8,"Casa en Venta Toluca De Lerdo, México",300,4,3,210000
9,9,9,"Casa en Venta Ejido Santa Cruz Azcapotzaltongo, Toluca De Lerdo",,,,137500
10,10,10,"Casa en Venta San Miguel Apinahuizco, Toluca De Lerdo",,,,75000
11,11,11,"Casa en Venta Venta De Casa/oficina Toluca
, Toluca De Lerdo, México",600,8,6,1250000
12,12,12,"Casa en Venta Casa En Venta En Cacalomacan Toluca
, Cacalomacan, Toluca De Lerdo",330,4,4,290000
13,13,13,"Casa en Venta Venta De Casa Remodelada En La Colonia Morelos Toluca
, Morelos 1a Sección, Toluca De Lerdo",256,2,3,197500
14,14,14,"Casa en Venta Casa En Venta Ideal Para Oficina En San Bernardino Toluca
, San Bernardino, Toluca De Lerdo",350,3,4,265000
15,15,15,"Casa en Venta Venta De Casa Con Terreno Excedente En Cacalomacan Toluca
, Cacalomacan, Toluca De Lerdo",350,3,4,225000
16,16,16,"Casa en Venta Venta De Casa En Cacalomacán Toluca
, Cacalomacan, Toluca De Lerdo",450,4,4,325000
17,17,17,"Casa en Venta Venta De Casa Sola En Cacalomacan Toluca
, Cacalomacan, Toluca De Lerdo",600,3,3,250000
18,18,18,"Casa en Venta Venta Casa Nueva Sola En Venta, A 5 Minutos De Central De Abastos Toluca, San Mateo Otzacatipan, Ejido
, San Mateo Otzacatipan, Toluca De Lerdo",262,2,2,117500
19,19,19,"Casa en Venta Casa En Venta En El Centro De Toluca Ideal Para Inversion
, Toluca De Lerdo, México",300,2,4,300000
20,20,20,"Casa en Venta Venta De Casa De Una Sola Planta En San Mateo Oxtotitlàn Toluca
, San Mateo Oxtotitlán, Toluca De Lerdo",159,1,3,110000
21,21,21,"Casa en Venta Casa En Venta En Centro Toluca
, Toluca De Lerdo, México",771,4,6,3050000
22,22,22,"Casa en Venta Residencia En Venta Por Calle Colón Toluca
, Ciprés, Toluca De Lerdo",280,3,3,523000
23,23,23,"Casa en Venta Casa Venta Renta En El Centro De Toluca
, Toluca De Lerdo, México",492,3,3,625000
24,24,24,"Casa en Venta Casa En Venta En El Centro De Toluca
, Toluca De Lerdo, México",287,2,4,187500
25,25,25,"Casa en Venta Venta De Casa En Capultitlan Toluca
, Toluca De Lerdo, México",324,3,7,215000
26,26,26,"Casa en Venta Venta De Casa En Residencial Colón Toluca
, Toluca De Lerdo, México",280,2,2,400000
27,27,27,"Casa en Venta Venta De Casa En Colonia Independencia Toluca
, Toluca De Lerdo, México",315,2,4,217500
28,28,28,"Casa en Venta Venta De Casa En Cacalomacan En Cerrada De Abedules
, Cacalomacan, Toluca De Lerdo",,2,3,375000
29,29,29,"Casa en Venta Venta De Casa En La Colonia Sanchez Toluca
, Toluca De Lerdo, México",353,2,4,225000
30,30,30,"Casa en Venta Venta De Quinta Familiar En San Pablo Autopan Estado De Mèxico
, Toluca De Lerdo",189,2,3,134500
31,31,31,"Casa en Venta Casa Nueva En Venta En Cacalomacan Toluca
, Cacalomacan, Toluca De Lerdo",148,2,3,125000
